ID; X; Y; Z
1;0.2643933;1.628722;-0.6865755
2;0.2642958;1.628763;-0.6862358
3;0.2641303;1.62891;-0.6856272
4;0.2640347;1.629012;-0.6854302
5;0.2637938;1.629353;-0.6849987
6;0.2637161;1.629412;-0.6849213
7;0.2635363;1.629648;-0.6845111
8;0.2634826;1.629686;-0.6844164
9;0.2634526;1.629723;-0.6844479
10;0.2634875;1.629737;-0.6844203
11;0.2635224;1.629738;-0.6843284
12;0.2635798;1.629872;-0.6842147
13;0.2635869;1.629958;-0.6841934
14;0.2637318;1.630004;-0.6843008
15;0.2639129;1.629887;-0.6844302
16;0.2642887;1.629774;-0.6845965
17;0.264489;1.629731;-0.6846635
18;0.2647151;1.629662;-0.6847566
19;0.2652109;1.629497;-0.6849154
20;0.2654922;1.629445;-0.684989
21;0.2665834;1.629337;-0.6856765
22;0.2672662;1.629143;-0.6859578
23;0.2688863;1.628575;-0.6865053
24;0.2697959;1.628328;-0.6869115
25;0.2709578;1.628222;-0.6874055
26;0.2738486;1.627349;-0.6885976
27;0.2756806;1.626993;-0.6891548
28;0.2802495;1.625991;-0.6905968
29;0.2828929;1.625413;-0.6913654
30;0.2892009;1.624308;-0.693253
31;0.2926688;1.623456;-0.6944082
32;0.3005454;1.62162;-0.6970621
33;0.3051901;1.621112;-0.6986017
34;0.3098526;1.62087;-0.7000819
35;0.3200364;1.620301;-0.7028913
36;0.3254423;1.619803;-0.7043515
37;0.3369767;1.619592;-0.7079398
38;0.342975;1.620206;-0.7096287
39;0.3571881;1.621796;-0.7131416
40;0.3642386;1.622833;-0.7148548
41;0.3711953;1.623882;-0.7166805
42;0.3853924;1.627821;-0.7198343
43;0.3928504;1.630521;-0.721452
44;0.407095;1.636317;-0.7243291
45;0.4135041;1.640589;-0.7253446
46;0.4248191;1.648744;-0.7270328
47;0.4314806;1.653183;-0.7275563
48;0.4379632;1.657884;-0.7278199
49;0.4485364;1.669128;-0.7270951
50;0.4524426;1.674961;-0.7262324
51;0.4583216;1.68426;-0.7228151
52;0.4603595;1.688528;-0.7206761
53;0.4648596;1.696887;-0.7160761
54;0.4659802;1.698899;-0.7139155
55;0.4670522;1.704402;-0.7072537
56;0.4672202;1.70667;-0.7039729
57;0.4667805;1.710616;-0.7015506
58;0.463206;1.72163;-0.6985688
59;0.4610465;1.728741;-0.6978975
60;0.456927;1.741636;-0.6960164
61;0.4545153;1.750932;-0.6948696
62;0.4491931;1.771934;-0.6926723
63;0.4459297;1.781964;-0.6927997
64;0.4426183;1.793948;-0.6930057
65;0.4375565;1.821033;-0.694574
66;0.4352615;1.837198;-0.6951171
67;0.4278201;1.864971;-0.6957045
68;0.424578;1.877732;-0.6973101
69;0.4187883;1.905461;-0.70179
70;0.4156331;1.918812;-0.7037837
71;0.4093549;1.940871;-0.7059789
72;0.4063509;1.950147;-0.7073953
73;0.4038948;1.960682;-0.7086794
74;0.4007342;1.979757;-0.7113798
75;0.399028;1.987643;-0.7125354
76;0.3959664;1.998913;-0.7147113
77;0.394469;2.004421;-0.7164119
78;0.3920976;2.018039;-0.7191559
79;0.3914378;2.025088;-0.7206159
80;0.3905818;2.032312;-0.7219591
81;0.3895634;2.042351;-0.7245061
82;0.3892695;2.046353;-0.726389
83;0.3897265;2.057383;-0.7289772
84;0.3902171;2.062287;-0.7300724
85;0.3920787;2.074297;-0.7314032
86;0.3934018;2.080451;-0.7313594
87;0.3960379;2.092235;-0.7311523
88;0.3971796;2.100665;-0.7313568
89;0.3985144;2.10945;-0.7311858
90;0.4022951;2.12315;-0.7294348
91;0.4042493;2.128375;-0.7283028
92;0.4079594;2.139745;-0.7277837
93;0.409505;2.147782;-0.7277415
94;0.4129228;2.15971;-0.7267942
95;0.4141217;2.164276;-0.725938
96;0.4151382;2.169811;-0.72528
97;0.4169227;2.188759;-0.7248237
98;0.4179231;2.198192;-0.7238566
99;0.4189498;2.215876;-0.7220699
100;0.4184574;2.223119;-0.7217117
101;0.4180322;2.24162;-0.7219304
102;0.418559;2.253122;-0.7218674
103;0.4204231;2.273212;-0.7208067
104;0.4214607;2.284178;-0.7203606
105;0.4231764;2.293188;-0.7201309
106;0.4249558;2.310844;-0.7182679
107;0.4252319;2.319396;-0.7173527
108;0.424352;2.337185;-0.715398
109;0.4227621;2.347763;-0.7141545
110;0.4207115;2.366106;-0.7122172
111;0.4200904;2.373;-0.7106922
112;0.4202124;2.373175;-0.7090018
113;0.4251146;2.367337;-0.7056862
114;0.4244911;2.388975;-0.7054583
115;0.4258549;2.383336;-0.7049811
116;0.4255556;2.387577;-0.7046034
117;0.4270634;2.389122;-0.7019388
118;0.4278775;2.388914;-0.7009891
119;0.4281048;2.390308;-0.7003059
120;0.4283207;2.390502;-0.7003522
121;0.4283391;2.390687;-0.7007242
122;0.4286833;2.39362;-0.7007545
123;0.4292313;2.393211;-0.7002603
124;0.4304195;2.393301;-0.6995316
125;0.430834;2.395113;-0.699403
126;0.4313301;2.400169;-0.6992856
127;0.431489;2.40258;-0.6991618
128;0.4318622;2.404126;-0.6989526
129;0.4333829;2.409552;-0.6977965
130;0.4345222;2.412441;-0.6970208
131;0.4351305;2.417866;-0.6960224
132;0.4351906;2.421925;-0.6957137
133;0.4362686;2.430536;-0.694897
134;0.4371586;2.434211;-0.694108
135;0.4382097;2.439023;-0.6932577
136;0.4393231;2.448439;-0.6920336
137;0.4396362;2.451363;-0.6917378
138;0.4401403;2.460636;-0.6913645
139;0.44055;2.464876;-0.6911185
140;0.4404264;2.469316;-0.6912653
141;0.4399631;2.471144;-0.6915598
142;0.439941;2.47336;-0.6917924
143;0.4407459;2.47189;-0.6915305
144;0.4416966;2.468696;-0.6913074
145;0.4421785;2.457876;-0.6918568
146;0.4422177;2.451155;-0.6920187
147;0.4421932;2.436951;-0.6923757
148;0.4422533;2.430511;-0.6926735
149;0.4424262;2.416278;-0.6932881
150;0.4425668;2.409593;-0.6936502
151;0.4426132;2.403288;-0.6939853
152;0.4423354;2.391338;-0.6946131
153;0.4422975;2.386576;-0.6948704
154;0.442153;2.376479;-0.6955594
155;0.442007;2.371635;-0.6961042
156;0.4412733;2.362507;-0.6973113
157;0.4411651;2.357485;-0.6976186
158;0.4413388;2.346975;-0.6981574
159;0.4415486;2.341917;-0.6984906
160;0.4418557;2.338485;-0.699016
161;0.4425847;2.327435;-0.699806
162;0.4427505;2.321325;-0.6999654
