ID; X; Y; Z
1;0.2094827;2.061294;-0.2806571
2;0.2095527;2.061641;-0.2806096
3;0.209659;2.062237;-0.2806448
4;0.2097487;2.062545;-0.280628
5;0.2099257;2.063273;-0.2804789
6;0.2100126;2.063681;-0.2805088
7;0.2099988;2.06426;-0.2806689
8;0.2099885;2.06457;-0.2806744
9;0.2100913;2.064967;-0.2806778
10;0.2101564;2.065674;-0.2808926
11;0.2100983;2.065895;-0.2810278
12;0.2101112;2.066189;-0.2811706
13;0.2101567;2.066389;-0.2811864
14;0.2104183;2.066888;-0.2813528
15;0.2105328;2.067003;-0.2815779
16;0.2105835;2.066974;-0.2817425
17;0.2107113;2.067134;-0.2818663
18;0.2108611;2.067365;-0.2819023
19;0.2110944;2.067281;-0.2823209
20;0.2111909;2.067204;-0.2825017
21;0.2113461;2.067284;-0.2826163
22;0.2114478;2.067371;-0.282675
23;0.2117566;2.067421;-0.2828626
24;0.2118367;2.06741;-0.2829242
25;0.2119029;2.067451;-0.2829027
26;0.2120913;2.067761;-0.2829328
27;0.2121242;2.067879;-0.2830006
28;0.2122615;2.067948;-0.2831021
29;0.2123696;2.068112;-0.2831052
30;0.212557;2.068587;-0.2830729
31;0.2127012;2.068852;-0.2830906
32;0.2128749;2.069135;-0.2830487
33;0.2131737;2.069681;-0.2829971
34;0.2132869;2.069964;-0.2829784
35;0.2135992;2.070641;-0.2829101
36;0.2138305;2.071047;-0.28287
37;0.2143178;2.071795;-0.2827655
38;0.2145424;2.07215;-0.2827231
39;0.2150971;2.073275;-0.2823342
40;0.2156362;2.073994;-0.2822572
41;0.2160118;2.074338;-0.2823274
42;0.2164659;2.07526;-0.2821468
43;0.2169287;2.076258;-0.2818978
44;0.2181387;2.078617;-0.2815082
45;0.2187175;2.079746;-0.2815047
46;0.2197666;2.081976;-0.2813828
47;0.2201783;2.083171;-0.2811854
48;0.2205909;2.084405;-0.2810054
49;0.2217447;2.086964;-0.2806044
50;0.2224403;2.088649;-0.2802876
51;0.2238714;2.091623;-0.2798255
52;0.2244817;2.092923;-0.279632
53;0.2256085;2.095798;-0.2791208
54;0.2265038;2.09805;-0.278708
55;0.2283203;2.102056;-0.2779718
56;0.2292718;2.104121;-0.2775557
57;0.2303718;2.106451;-0.2772498
58;0.2322033;2.110683;-0.2766843
59;0.2329842;2.112648;-0.2761353
60;0.2354335;2.117729;-0.2748218
61;0.2367039;2.120461;-0.2742813
62;0.2386492;2.124516;-0.2737303
63;0.239703;2.126292;-0.2732221
64;0.2410838;2.12901;-0.2723782
65;0.2436364;2.134665;-0.2706446
66;0.2447963;2.137024;-0.2703191
67;0.2466959;2.141212;-0.2693302
68;0.2476517;2.143773;-0.2687388
69;0.2500564;2.148853;-0.2672307
70;0.2513354;2.151414;-0.2663593
71;0.2538592;2.156916;-0.2649716
72;0.2548245;2.158542;-0.2646506
73;0.2556327;2.160286;-0.2642902
74;0.2577311;2.165159;-0.2626615
75;0.2590721;2.168181;-0.2618856
76;0.2616141;2.172716;-0.2606341
77;0.2628455;2.175755;-0.2599011
78;0.2648926;2.180998;-0.2587701
79;0.2657703;2.183311;-0.2580101
80;0.2666572;2.185899;-0.2572314
81;0.2694087;2.192386;-0.2556321
82;0.2709249;2.19587;-0.2551845
83;0.2727682;2.201664;-0.2540466
84;0.2737035;2.204261;-0.253295
85;0.2765312;2.211159;-0.2517192
86;0.2779393;2.2144;-0.2511641
87;0.2807009;2.221352;-0.2501324
88;0.2819333;2.224753;-0.2495588
89;0.2832041;2.228456;-0.2487418
90;0.2859715;2.236392;-0.2476418
91;0.2868569;2.239763;-0.2473282
92;0.2886408;2.246696;-0.2463352
93;0.2898041;2.251971;-0.2455257
94;0.2920259;2.261321;-0.2443062
95;0.2929022;2.265823;-0.2441599
96;0.2935646;2.269603;-0.2441956
97;0.2946881;2.276694;-0.2438944
98;0.2954415;2.281168;-0.243352
99;0.2970034;2.291152;-0.2426418
100;0.29768;2.294961;-0.2429414
101;0.2983463;2.297702;-0.2432739
102;0.3003354;2.305212;-0.2429957
103;0.3016307;2.309908;-0.2425172
104;0.3039979;2.319007;-0.2419349
105;0.3052563;2.323443;-0.241923
106;0.3076688;2.332937;-0.2422136
107;0.3088565;2.338463;-0.2420474
108;0.3115234;2.348119;-0.2417504
109;0.3128895;2.35357;-0.2417529
110;0.3150037;2.363607;-0.2417705
111;0.315863;2.369437;-0.2418264
112;0.3167792;2.374651;-0.241946
113;0.3190439;2.385134;-0.2422842
114;0.3203428;2.39116;-0.2424608
115;0.3219244;2.402216;-0.2425116
116;0.3224595;2.4077;-0.242352
117;0.324432;2.418778;-0.2430089
118;0.325364;2.423913;-0.2432714
119;0.3260592;2.429211;-0.2435088
120;0.3272571;2.439087;-0.2438948
121;0.3279701;2.444403;-0.2439067
122;0.3294662;2.455314;-0.2442227
123;0.3304106;2.460057;-0.2446955
124;0.3313905;2.469279;-0.2452906
125;0.3318574;2.47373;-0.2455005
126;0.3326439;2.478427;-0.2455512
