ID; X; Y; Z
1;0.1831632;1.155347;-0.6915276
2;0.1832451;1.155349;-0.6913401
3;0.1833772;1.155379;-0.6908898
4;0.1833617;1.155398;-0.6906369
5;0.1834709;1.155391;-0.6901123
6;0.1835639;1.155424;-0.689811
7;0.1836366;1.155452;-0.6894989
8;0.1839385;1.155591;-0.6887306
9;0.1840635;1.155629;-0.6884796
10;0.1844592;1.155534;-0.6877074
11;0.1846374;1.155423;-0.6873024
12;0.1850187;1.155071;-0.6864017
13;0.1851333;1.154906;-0.6859349
14;0.1856037;1.154677;-0.6851605
15;0.1858888;1.154641;-0.6847392
16;0.1861396;1.154496;-0.6843113
17;0.1867442;1.154254;-0.6831644
18;0.1871182;1.154273;-0.6825362
19;0.1881757;1.154096;-0.6812564
20;0.1886697;1.154411;-0.6804179
21;0.1899125;1.155023;-0.6784554
22;0.1905081;1.155396;-0.677384
23;0.1912498;1.155888;-0.6760564
24;0.1929347;1.157461;-0.6732964
25;0.1938343;1.158765;-0.6716631
26;0.1957596;1.162573;-0.6680188
27;0.1966615;1.165646;-0.6662707
28;0.1983454;1.172794;-0.662934
29;0.1993149;1.17689;-0.6611934
30;0.2007934;1.187103;-0.6572513
31;0.2016214;1.192816;-0.6553593
32;0.202364;1.198574;-0.6534305
33;0.2033234;1.210401;-0.6495438
34;0.2037136;1.216851;-0.6470442
35;0.2043899;1.229897;-0.6422477
36;0.2045793;1.236257;-0.6397395
37;0.2053214;1.248784;-0.6347392
38;0.2054946;1.255661;-0.6326849
39;0.2057551;1.262504;-0.6306885
40;0.2061121;1.276367;-0.6262173
41;0.2064284;1.28306;-0.6238571
42;0.2071191;1.296742;-0.6196299
43;0.2074791;1.303497;-0.6176125
44;0.2079275;1.316824;-0.6143614
45;0.208293;1.323633;-0.6124151
46;0.2089137;1.336862;-0.609153
47;0.2093688;1.34293;-0.6076028
48;0.2096583;1.348461;-0.6060482
49;0.2100371;1.359065;-0.6032695
50;0.2101624;1.364057;-0.6021154
51;0.2105475;1.373991;-0.60045
52;0.2107509;1.378456;-0.5997626
53;0.2108404;1.386243;-0.5977895
54;0.2107369;1.390017;-0.5970011
55;0.2106267;1.393424;-0.5961588
