ID; X; Y; Z
1;0.2460355;1.579873;-0.5428939
2;0.2460355;1.579873;-0.5428939
3;0.2460813;1.579786;-0.5425723
4;0.246253;1.579905;-0.542413
5;0.2465518;1.580058;-0.5415757
6;0.2466415;1.580094;-0.5413707
7;0.2467551;1.58011;-0.5411674
8;0.2469597;1.580142;-0.5407594
9;0.2471005;1.580133;-0.5405304
10;0.2473016;1.580358;-0.5400623
11;0.2474069;1.580447;-0.5398489
12;0.2476017;1.580422;-0.5394615
13;0.2477076;1.580418;-0.5392729
14;0.2478558;1.580336;-0.5388415
15;0.2479221;1.580304;-0.5386212
16;0.2479637;1.580383;-0.538482
17;0.248072;1.58059;-0.5382683
18;0.2481523;1.58065;-0.5381421
19;0.2483082;1.580735;-0.5378177
20;0.2483834;1.580738;-0.5376239
21;0.2485127;1.58076;-0.5371876
22;0.2485611;1.580903;-0.5370547
23;0.2487776;1.581117;-0.5367914
24;0.2489269;1.581144;-0.5366417
25;0.249092;1.581207;-0.5365054
26;0.2494013;1.581318;-0.5362909
27;0.249543;1.581375;-0.5362357
28;0.2497573;1.581738;-0.5362581
29;0.2498628;1.581854;-0.5362442
30;0.2500762;1.581845;-0.5360809
31;0.2501705;1.58181;-0.5360151
32;0.2502547;1.581796;-0.5359821
33;0.2503994;1.581811;-0.5359821
34;0.2504261;1.581851;-0.5360134
35;0.2505181;1.581853;-0.5360681
36;0.2506129;1.581779;-0.5360525
37;0.2508266;1.581718;-0.5360435
38;0.2509314;1.581717;-0.536033
39;0.251129;1.581699;-0.5360446
40;0.2512043;1.581702;-0.5360903
41;0.2512697;1.581667;-0.5361317
42;0.251419;1.581619;-0.5361733
43;0.2515028;1.581604;-0.5361996
44;0.2516384;1.581621;-0.5362454
45;0.2516889;1.581596;-0.5362579
46;0.2517912;1.581658;-0.5362169
47;0.2518202;1.581679;-0.5361903
48;0.2518521;1.581664;-0.5361938
49;0.2519202;1.58169;-0.5362448
50;0.2519767;1.581695;-0.5362853
51;0.2520513;1.581625;-0.5363585
52;0.2521012;1.581648;-0.5364517
53;0.2521093;1.581681;-0.536628
54;0.2521082;1.581659;-0.5366695
55;0.2520998;1.581624;-0.5366907
56;0.2520743;1.581475;-0.5366848
57;0.2520448;1.58137;-0.5366774
58;0.2519803;1.581367;-0.5366828
59;0.2519541;1.581345;-0.5366923
60;0.2519255;1.581332;-0.536694
61;0.251914;1.581271;-0.5366955
62;0.2518028;1.581121;-0.5367132
63;0.2517436;1.581035;-0.5367033
64;0.251698;1.580956;-0.5367533
65;0.2515915;1.580853;-0.5368646
66;0.2515688;1.580821;-0.536837
67;0.2515274;1.580753;-0.5367562
68;0.251495;1.580745;-0.536715
69;0.2514428;1.580903;-0.5367271
70;0.2514401;1.581105;-0.5367432
71;0.2514507;1.581414;-0.5367427
72;0.2514285;1.58148;-0.5366561
73;0.2514202;1.581499;-0.5366007
74;0.2513513;1.581501;-0.5364953
75;0.2513137;1.581499;-0.5364343
76;0.2512403;1.58156;-0.5363688
77;0.251201;1.581575;-0.5363505
78;0.2510886;1.581514;-0.5363351
79;0.2510218;1.581489;-0.5363238
80;0.2509589;1.581452;-0.5363023
81;0.2508746;1.581354;-0.5362222
82;0.2508031;1.581349;-0.5361297
83;0.250706;1.581334;-0.5360035
84;0.2506752;1.581257;-0.5359951
85;0.2505785;1.581148;-0.5359959
86;0.2505105;1.581078;-0.5360019
87;0.2504541;1.581028;-0.5360094
88;0.2503819;1.58102;-0.5360031
89;0.2503512;1.581012;-0.5359694
90;0.2502668;1.58093;-0.535841
91;0.2502211;1.5809;-0.5357946
92;0.2501602;1.580948;-0.5357575
93;0.2501008;1.580983;-0.5357368
94;0.2498164;1.581185;-0.5356141
95;0.2496537;1.581223;-0.5355733
96;0.2495138;1.581187;-0.5355604
97;0.2492636;1.581148;-0.5355129
98;0.2491478;1.581142;-0.5354515
99;0.2489392;1.581091;-0.535298
100;0.2488579;1.581097;-0.5352985
101;0.2486387;1.581248;-0.5351875
102;0.2485249;1.581334;-0.5352468
103;0.2484184;1.581393;-0.5352724
104;0.2482012;1.581397;-0.5352466
105;0.2480894;1.581327;-0.5352322
106;0.2477915;1.581384;-0.5350255
107;0.2476236;1.581419;-0.5349373
108;0.2473495;1.581393;-0.5348763
109;0.2472387;1.581296;-0.5349169
110;0.2471182;1.581206;-0.5349467
111;0.246885;1.580838;-0.5349256
112;0.2467431;1.580629;-0.5349053
113;0.2463639;1.580192;-0.5349508
114;0.2461228;1.579861;-0.535023
