ID; X; Y; Z
1;0.0122261;1.104211;0.03135802
2;0.01200994;1.104124;0.03140322
3;0.0118046;1.104032;0.03147212
4;0.01152032;1.103856;0.03153594
5;0.01142592;1.103779;0.03150706
6;0.01124819;1.103624;0.03145624
7;0.01117581;1.103559;0.03141279
8;0.01110118;1.10346;0.03136487
9;0.0107844;1.103193;0.03127816
10;0.01062395;1.10306;0.03121943
11;0.01049138;1.102816;0.0310604
12;0.01045644;1.102721;0.0310037
13;0.01042067;1.102592;0.03082548
14;0.01042604;1.102542;0.03073951
15;0.01030352;1.102467;0.03069253
16;0.01016081;1.102418;0.0306481
17;0.01019352;1.102425;0.03056162
18;0.01022138;1.102415;0.03046907
19;0.01026623;1.102422;0.03046691
20;0.01044443;1.102446;0.03047381
21;0.01048645;1.102459;0.03050348
22;0.01061765;1.102478;0.03051076
23;0.01072206;1.102454;0.03053826
24;0.01081513;1.1024;0.03059149
25;0.0111018;1.102213;0.03080552
26;0.01135554;1.102163;0.03090797
27;0.01173621;1.102126;0.03109917
28;0.01195826;1.102092;0.03129036
29;0.01279617;1.101616;0.0322177
30;0.01312893;1.10141;0.03252747
31;0.01411951;1.101291;0.03307515
32;0.01461715;1.101266;0.03343952
33;0.01531634;1.101199;0.03381896
34;0.01636476;1.101087;0.0346682
35;0.01711251;1.100968;0.03514675
36;0.01841931;1.10104;0.03598845
37;0.01911997;1.101053;0.03655027
38;0.02039932;1.100958;0.0378081
39;0.02102382;1.100951;0.03837061
40;0.02165943;1.100932;0.03909603
41;0.02301593;1.10104;0.04082657
42;0.02360607;1.101093;0.04178497
43;0.02470034;1.101217;0.04394183
44;0.02533152;1.101344;0.04511758
45;0.02625141;1.10168;0.04758665
46;0.02671617;1.10175;0.04910551
47;0.02783594;1.102198;0.05221204
48;0.02835278;1.10291;0.05345809
49;0.0288717;1.103705;0.05477185
50;0.02977843;1.105878;0.05761956
51;0.03010414;1.107066;0.05903869
52;0.03097839;1.110301;0.06219192
53;0.03147768;1.112569;0.06357388
54;0.03240516;1.118069;0.06663614
55;0.03284301;1.120526;0.0684895
56;0.0333945;1.126853;0.07209691
57;0.03365132;1.131398;0.07334554
58;0.0337819;1.135505;0.07480273
59;0.03469375;1.142923;0.07809075
60;0.03512117;1.147962;0.07919972
61;0.03610294;1.158353;0.08094037
62;0.03645971;1.162892;0.08234088
63;0.03685652;1.171183;0.08628353
64;0.03713419;1.176547;0.08716294
65;0.037591;1.182503;0.08800811
66;0.03846178;1.19323;0.09050081
67;0.03899634;1.198472;0.09224028
68;0.04002846;1.210149;0.09500239
69;0.04054536;1.216596;0.09617969
70;0.04184209;1.228041;0.09967754
71;0.0425725;1.234078;0.1016204
72;0.04417023;1.247618;0.1042865
73;0.04503031;1.254596;0.1055673
74;0.04606788;1.261424;0.1070167
75;0.04768075;1.273633;0.1104598
76;0.04822331;1.280016;0.1123383
77;0.04989618;1.294148;0.1155828
78;0.05085944;1.301409;0.1167793
79;0.05301513;1.314441;0.1197928
80;0.05406742;1.320641;0.1215935
81;0.05523599;1.334278;0.1250377
82;0.05569711;1.341585;0.126336
83;0.05640884;1.348305;0.1276714
84;0.05739833;1.359758;0.1309219
85;0.05784381;1.366141;0.1322733
86;0.05874493;1.379987;0.134073
87;0.05906639;1.386007;0.1349013
88;0.05928285;1.396671;0.1375442
89;0.05953145;1.402701;0.1383395
90;0.05986178;1.407538;0.1387901
91;0.06060003;1.415854;0.1397012
92;0.06078516;1.419749;0.1399427
93;0.06126256;1.4275;0.1403048
94;0.0616639;1.431898;0.1404159
95;0.06243275;1.439954;0.1409525
96;0.06286459;1.443031;0.1417708
97;0.06351905;1.449991;0.1432624
98;0.06379148;1.454703;0.1435266
99;0.06419514;1.458915;0.14357
100;0.06518463;1.465037;0.1445858
101;0.06560859;1.46756;0.1453802
102;0.06627856;1.47349;0.1462495
103;0.06650258;1.476629;0.1464661
104;0.06686138;1.48043;0.1470948
105;0.06692816;1.481922;0.1475203
106;0.06702744;1.483445;0.1477949
107;0.06739251;1.486829;0.1483177
108;0.06779903;1.487769;0.1484355
109;0.06858678;1.488766;0.1484738
110;0.06883377;1.489162;0.1483063
111;0.0691878;1.489673;0.1477588
112;0.06927439;1.489724;0.1474656
113;0.0696253;1.488873;0.146587
114;0.06987243;1.489583;0.1465638
115;0.07013675;1.488708;0.1455972
116;0.07026524;1.488599;0.1450927
117;0.07023288;1.488294;0.1443221
118;0.07022407;1.487839;0.1431652
119;0.07029715;1.487773;0.1429381
120;0.07044753;1.488644;0.1419826
121;0.07047217;1.488827;0.1413779
122;0.07057492;1.488443;0.1406647
123;0.07072484;1.488749;0.1402106
124;0.07097001;1.48896;0.1395926
125;0.07106785;1.489329;0.1385778
126;0.07095511;1.489189;0.1381893
127;0.07076474;1.48849;0.1378587
128;0.07059692;1.488321;0.1377057
129;0.07036009;1.488186;0.137213
130;0.07034893;1.488113;0.136834
131;0.07015801;1.487964;0.1365232
132;0.07008409;1.487903;0.136401
133;0.06997011;1.487783;0.1362523
134;0.06969406;1.48748;0.1357214
135;0.06927714;1.487354;0.1351203
136;0.06857507;1.486632;0.1349722
137;0.0682463;1.486673;0.1345581
138;0.06794216;1.486426;0.1335928
139;0.06775576;1.486198;0.1331822
140;0.06770555;1.485775;0.1329236
141;0.06707944;1.485189;0.132714
142;0.06684003;1.485574;0.1324715
143;0.06648073;1.486197;0.1318342
144;0.06639276;1.485962;0.131865
145;0.06590796;1.485584;0.1317483
146;0.06568436;1.485495;0.1318145
147;0.06499984;1.486012;0.1318282
148;0.06460203;1.486305;0.1319078
149;0.06431995;1.486356;0.1320615
150;0.06325769;1.486136;0.1335651
151;0.06291713;1.486834;0.1338238
152;0.0624497;1.48763;0.1340481
153;0.06228679;1.487489;0.1343489
154;0.06154268;1.487402;0.1347522
155;0.06112462;1.487746;0.1348017
156;0.06052252;1.488107;0.1350142
157;0.06019977;1.488017;0.1352608
158;0.05992212;1.487748;0.1355978
159;0.05910745;1.487965;0.1363508
160;0.05878961;1.488319;0.1365456
161;0.058398;1.488891;0.1368
162;0.05818531;1.488893;0.1371747
163;0.05773529;1.489067;0.1380598
164;0.05744898;1.489652;0.1381866
165;0.05724378;1.490709;0.1383368
166;0.05719263;1.490701;0.1385959
167;0.05703361;1.490407;0.1389242
168;0.05657727;1.490555;0.1392964
169;0.05639647;1.490975;0.1393239
170;0.05609255;1.491503;0.1395562
171;0.05592676;1.491634;0.139656
172;0.05563547;1.49162;0.1400749
173;0.05547074;1.491886;0.1402006
174;0.05534708;1.49218;0.1402515
175;0.05530565;1.492518;0.1401747
176;0.05531575;1.492446;0.1401345
177;0.05531706;1.492376;0.1402886
178;0.05527639;1.492544;0.1403556
179;0.05513771;1.492977;0.1403232
180;0.05509344;1.493039;0.1403994
181;0.0548554;1.493144;0.1407726
182;0.05465467;1.493333;0.1409971
183;0.05440281;1.493593;0.1411952
184;0.05398003;1.494152;0.1414842
185;0.05386004;1.494252;0.1417206
186;0.05329108;1.494083;0.1425324
187;0.05302132;1.494317;0.1426234
188;0.05253456;1.494781;0.1426996
189;0.05224917;1.494779;0.1429769
190;0.05158933;1.494303;0.1435994
191;0.05119303;1.494512;0.1434868
192;0.0509696;1.494806;0.1433544
