ID; X; Y; Z
1;-0.1394915;1.051166;0.5110456
2;-0.1391751;1.051324;0.5119268
3;-0.1390106;1.05139;0.5123669
4;-0.138673;1.051377;0.5133662
5;-0.1384994;1.051392;0.5138726
6;-0.1382481;1.051471;0.5142599
7;-0.1377138;1.051655;0.514963
8;-0.1374159;1.051737;0.5152467
9;-0.1369373;1.051751;0.5159478
10;-0.1366532;1.051745;0.5163977
11;-0.1362484;1.051745;0.5170562
12;-0.1360323;1.051686;0.5174468
13;-0.1356238;1.051678;0.5180473
14;-0.1354813;1.051663;0.5183493
15;-0.1350934;1.051204;0.5189592
16;-0.1349055;1.050932;0.5192497
17;-0.1347371;1.050711;0.5193778
18;-0.1342661;1.04993;0.5196406
19;-0.1340895;1.04919;0.519712
20;-0.1337181;1.047455;0.5200484
21;-0.1336263;1.046348;0.519999
22;-0.1331545;1.044792;0.5192113
23;-0.1327593;1.044338;0.5186744
24;-0.132492;1.043857;0.5181486
25;-0.1317227;1.043161;0.517158
26;-0.1315921;1.042704;0.5167455
27;-0.1307954;1.041811;0.5159655
28;-0.1304717;1.041469;0.5154887
29;-0.1296304;1.041172;0.5145881
30;-0.1291925;1.041081;0.5142652
31;-0.1283817;1.041083;0.5136927
32;-0.127869;1.040961;0.5136046
33;-0.1272785;1.040814;0.5135432
34;-0.1262293;1.040328;0.5133277
35;-0.1255133;1.040032;0.5133302
36;-0.1236641;1.038903;0.513262
37;-0.1225274;1.038338;0.5132073
38;-0.1202298;1.037324;0.5132962
39;-0.1192503;1.037094;0.5129888
40;-0.1167165;1.036022;0.512886
41;-0.1155248;1.03522;0.5128482
42;-0.1143407;1.03435;0.5127992
43;-0.1117939;1.032566;0.512604
44;-0.1105212;1.031549;0.512693
45;-0.107426;1.028916;0.512411
46;-0.1057861;1.027903;0.5119948
47;-0.102534;1.026838;0.5103083
48;-0.1009839;1.026677;0.509523
49;-0.09952158;1.026671;0.5088133
50;-0.09653621;1.025633;0.508378
51;-0.0946119;1.024874;0.5084028
52;-0.09154873;1.02431;0.5075237
53;-0.09003587;1.024421;0.5070882
54;-0.0860454;1.024401;0.5064604
55;-0.08440147;1.024247;0.5059888
56;-0.08082051;1.02525;0.5054783
57;-0.07919561;1.026062;0.5052786
58;-0.07744895;1.026815;0.5053351
59;-0.07414386;1.028519;0.5056466
60;-0.07218609;1.029538;0.5057265
61;-0.06927221;1.032157;0.5059713
62;-0.0678997;1.033417;0.5062499
63;-0.06460389;1.034765;0.5066561
64;-0.06335229;1.035046;0.5061972
65;-0.06208144;1.035489;0.5055892
66;-0.06068202;1.037036;0.504236
67;-0.06049433;1.037753;0.5033214
68;-0.06049115;1.038827;0.5012079
69;-0.06088846;1.03944;0.4999463
70;-0.06277682;1.040437;0.4975359
71;-0.06415717;1.040846;0.4962707
72;-0.06702024;1.041145;0.4936715
73;-0.06827382;1.040985;0.4917589
74;-0.07008063;1.040957;0.4899757
75;-0.07443183;1.040881;0.4863273
76;-0.07660682;1.040482;0.48421
77;-0.08126909;1.039647;0.4793889
78;-0.08435854;1.03943;0.4769728
79;-0.0903442;1.038499;0.4719451
80;-0.09308052;1.037764;0.4692197
81;-0.09936453;1.036449;0.4639316
82;-0.1026823;1.035844;0.4614708
83;-0.1060302;1.035336;0.458635
84;-0.1131374;1.033481;0.4531236
85;-0.1167502;1.032846;0.4504062
86;-0.1237995;1.031715;0.4450846
87;-0.1276804;1.03046;0.442292
88;-0.1352633;1.02841;0.4368963
89;-0.1389201;1.02794;0.4344746
90;-0.1457238;1.026731;0.4296792
91;-0.1490055;1.025909;0.4273871
92;-0.1521388;1.025202;0.4250151
93;-0.1576732;1.02415;0.4217499
94;-0.1600785;1.02377;0.4202944
95;-0.1642986;1.02282;0.4186436
96;-0.1662895;1.022328;0.4180267
97;-0.1684589;1.021641;0.417732
98;-0.1725204;1.020588;0.4173048
99;-0.1743902;1.020253;0.417259
100;-0.1775962;1.020228;0.4182499
101;-0.1791578;1.020175;0.4192078
102;-0.181422;1.020203;0.4218573
103;-0.1825898;1.020185;0.4237144
104;-0.1854055;1.019666;0.4271888
105;-0.1867096;1.01962;0.4290067
106;-0.1888608;1.019856;0.4331565
107;-0.1896627;1.019864;0.4352722
108;-0.1905813;1.020227;0.4375348
109;-0.1932841;1.021512;0.4416553
110;-0.194572;1.022382;0.4437439
111;-0.1956359;1.023096;0.4485451
112;-0.1967234;1.023319;0.4508328
113;-0.1994885;1.024056;0.4546463
114;-0.2005051;1.024644;0.4560949
115;-0.2028853;1.025043;0.458613
116;-0.2046019;1.025299;0.4592356
117;-0.2061821;1.025699;0.4597953
118;-0.2094092;1.02689;0.4602395
119;-0.2109635;1.027253;0.4602146
120;-0.2142624;1.027764;0.4599494
121;-0.2160792;1.028167;0.4597357
122;-0.2204336;1.028696;0.4588974
123;-0.2220997;1.028674;0.4579487
124;-0.2237909;1.0292;0.4571348
125;-0.2270821;1.030693;0.4558735
126;-0.2290404;1.031435;0.4552784
127;-0.2320886;1.032521;0.4542483
128;-0.2333646;1.033426;0.4535894
129;-0.2364338;1.035333;0.451532
130;-0.2379602;1.036108;0.4496395
131;-0.2399194;1.03795;0.4456494
132;-0.2404967;1.038685;0.4437538
133;-0.2408135;1.039421;0.4418606
134;-0.2407942;1.040822;0.4381214
135;-0.2405882;1.041379;0.4364359
136;-0.2396425;1.042317;0.4340978
137;-0.2390053;1.042592;0.4332474
138;-0.236995;1.042836;0.4319125
139;-0.2359832;1.04345;0.4310503
140;-0.2335017;1.044314;0.4308469
141;-0.2323387;1.044712;0.4312394
142;-0.2314215;1.045146;0.4316847
143;-0.2298995;1.046192;0.433598
144;-0.2288026;1.046327;0.4348755
145;-0.2261457;1.045955;0.4380435
146;-0.224877;1.045578;0.4397931
147;-0.2218509;1.044767;0.4444985
148;-0.220114;1.044068;0.4467696
149;-0.2182436;1.043889;0.4489822
150;-0.2145553;1.043884;0.4531607
151;-0.2130628;1.044205;0.4551545
152;-0.2094601;1.044845;0.4592994
153;-0.2075291;1.045463;0.461591
154;-0.20331;1.046856;0.4657321
155;-0.2010043;1.047364;0.4675488
156;-0.1962543;1.048761;0.472055
157;-0.1939476;1.049559;0.473921
158;-0.1894287;1.05114;0.4776125
159;-0.1872871;1.051976;0.4794039
160;-0.1850057;1.053149;0.4811758
161;-0.1796005;1.056087;0.4833401
162;-0.1768467;1.057042;0.4844438
163;-0.1707863;1.057123;0.4867612
164;-0.1673664;1.057332;0.4878092
165;-0.1617301;1.059059;0.4871923
166;-0.1595737;1.058641;0.486499
167;-0.1576108;1.057994;0.4863525
168;-0.1534492;1.05695;0.4869517
169;-0.1517558;1.056777;0.4869718
170;-0.148381;1.056187;0.4869505
171;-0.1464123;1.056114;0.4868553
172;-0.1436553;1.055827;0.487257
173;-0.1421798;1.055788;0.4875099
174;-0.139592;1.056207;0.4883485
175;-0.1382304;1.056624;0.4888543
176;-0.1372114;1.056792;0.489253
177;-0.1348317;1.057803;0.4904651
178;-0.1338037;1.05837;0.4908019
179;-0.1315989;1.059146;0.4912249
180;-0.1304886;1.059415;0.4915278
181;-0.1284824;1.059956;0.4921819
