ID; X; Y; Z
1;-0.003267575;1.10256;-0.03924027
2;-0.002420815;1.102503;-0.03924578
3;-0.00199881;1.102528;-0.0392607
4;-0.001117026;1.102577;-0.03945322
5;-0.0007143652;1.102608;-0.0395805
6;2.668831E-05;1.102683;-0.03926446
7;0.0004259394;1.102758;-0.03904209
8;0.0011636;1.102889;-0.03853497
9;0.001452175;1.102932;-0.03826052
10;0.001836367;1.103053;-0.03811688
11;0.002686098;1.103198;-0.03807309
12;0.003059088;1.103254;-0.03759288
13;0.00370981;1.103163;-0.03680325
14;0.004065827;1.103098;-0.03632729
15;0.004824142;1.102759;-0.03543745
16;0.005304679;1.102364;-0.03519243
17;0.006595695;1.101827;-0.03456233
18;0.007199484;1.101533;-0.0343156
19;0.007849241;1.101065;-0.03423617
20;0.009134679;1.099483;-0.03411891
21;0.009971982;1.098485;-0.03399821
22;0.01189486;1.095516;-0.0342786
23;0.01302712;1.093773;-0.03464303
24;0.01562436;1.090209;-0.03565763
25;0.01702355;1.088852;-0.03632479
26;0.01997976;1.086706;-0.03764963
27;0.02130497;1.085517;-0.03853178
28;0.02274859;1.084349;-0.03926115
29;0.02586029;1.08247;-0.04024538
30;0.02702781;1.081938;-0.04066953
31;0.02941204;1.081009;-0.04172474
32;0.03049077;1.080577;-0.04206105
33;0.03203068;1.080113;-0.04244889
34;0.03247584;1.080054;-0.04249796
35;0.03315627;1.080216;-0.0423836
36;0.03372105;1.081075;-0.04197227
37;0.03366721;1.081576;-0.04133813
38;0.03376674;1.082865;-0.03996051
39;0.03382682;1.083518;-0.03909469
40;0.03393837;1.084376;-0.03666753
41;0.0339337;1.084891;-0.03528333
42;0.03412639;1.086416;-0.03208363
43;0.03404376;1.08751;-0.03043212
44;0.03422588;1.088951;-0.02882858
45;0.0348355;1.090974;-0.02576168
46;0.03519382;1.09145;-0.02378246
47;0.03636827;1.092169;-0.01948816
48;0.03719106;1.092666;-0.01721995
49;0.03857295;1.094733;-0.01291458
50;0.03913362;1.096077;-0.01075105
51;0.03978508;1.099894;-0.006026642
52;0.0399867;1.102327;-0.003862765
53;0.04010447;1.105326;-0.002214395
54;0.03961566;1.111023;-0.0002236502
55;0.03858507;1.112256;0.0003152141
56;0.03709031;1.111927;0.003963625
57;0.0364405;1.111116;0.007019206
58;0.03536088;1.110592;0.01096941
59;0.03453838;1.110825;0.01172656
60;0.03377634;1.111298;0.01254255
61;0.03281311;1.112497;0.0140088
62;0.03237982;1.112794;0.01482883
63;0.03162641;1.113026;0.0171195
64;0.03135375;1.113336;0.01812229
65;0.03078283;1.114209;0.01972212
66;0.03045234;1.114483;0.02044348
67;0.0298239;1.115108;0.0219501
68;0.02952005;1.115153;0.02284571
69;0.0292321;1.115193;0.0237462
70;0.02835654;1.115195;0.0254148
71;0.0279772;1.115246;0.02608926
72;0.02739048;1.115087;0.02747588
73;0.02706183;1.114939;0.02809153
74;0.0267036;1.114984;0.02938106
75;0.02657817;1.114931;0.02974936
76;0.02644351;1.114004;0.03037811
77;0.02651088;1.113894;0.03046963
78;0.02663772;1.113802;0.03069891
79;0.02657711;1.114037;0.03040462
80;0.02645624;1.113773;0.03081412
81;0.02650869;1.113477;0.02998996
82;0.02653358;1.113157;0.02965446
83;0.0267428;1.112502;0.02818794
84;0.0268044;1.112352;0.02755879
85;0.02681338;1.11207;0.02701116
86;0.02687214;1.111436;0.02570851
87;0.02690632;1.111175;0.02498235
88;0.0272574;1.110137;0.0236036
89;0.02724988;1.10956;0.02304463
90;0.02729932;1.10874;0.02165851
91;0.02735844;1.108445;0.02075012
92;0.02739942;1.107853;0.01913779
93;0.02736844;1.107466;0.01844264
94;0.02743161;1.107029;0.01779434
95;0.02737185;1.106239;0.01647865
96;0.02725797;1.105934;0.01582273
97;0.02695797;1.105496;0.01460652
98;0.0267627;1.105215;0.01425332
99;0.02645515;1.104799;0.01362045
100;0.02641477;1.104614;0.01350916
101;0.0262327;1.104369;0.01322684
102;0.02601213;1.104351;0.01324098
103;0.02579745;1.104384;0.01328294
104;0.02532879;1.104212;0.01335765
105;0.02502836;1.104264;0.01375175
106;0.02431872;1.104599;0.01566705
107;0.02400947;1.104625;0.01675477
108;0.02319227;1.104439;0.01934334
109;0.02260411;1.10464;0.02112265
110;0.02203031;1.104983;0.02273352
111;0.02102189;1.106242;0.02605628
112;0.02075656;1.107011;0.0279771
113;0.02037903;1.108397;0.03204383
114;0.01993474;1.109101;0.0340764
115;0.0191057;1.110412;0.03798823
116;0.01871769;1.11094;0.04016665
117;0.01786165;1.111958;0.04427391
118;0.0176972;1.112407;0.04625597
119;0.0175779;1.112881;0.04816791
120;0.0168368;1.113418;0.0515496
121;0.01657275;1.113439;0.05300707
122;0.01577143;1.113267;0.05588834
123;0.01549201;1.113235;0.05695743
124;0.01510416;1.112988;0.05887432
125;0.01497999;1.112722;0.05985975
126;0.01449497;1.112265;0.06196887
127;0.01419829;1.112113;0.06309226
128;0.01388815;1.112073;0.06411202
129;0.01351543;1.112134;0.06653079
130;0.01346228;1.112252;0.06768385
131;0.01318209;1.112944;0.07014808
132;0.01287286;1.113331;0.07143325
133;0.01239618;1.114002;0.07417224
134;0.01206732;1.114346;0.07556233
135;0.01180611;1.11483;0.07689688
136;0.01158572;1.115727;0.07969148
137;0.01155707;1.116119;0.08110627
138;0.01138694;1.116295;0.08452971
139;0.01120391;1.116348;0.08631059
140;0.01088914;1.117031;0.08989038
141;0.01071423;1.117383;0.09157871
142;0.0109823;1.118252;0.09478358
143;0.0109745;1.118946;0.09626412
144;0.01095115;1.11964;0.09810665
